connector_id,node_id,type,x,y,z,roi,confidence
0,1403,pre,4664,23216,15244,LH(R),0.953
1,1403,pre,4677,23267,15245,LH(R),0.994
2,1296,pre,3995,22583,14897,LH(R),0.991
3,1295,pre,4020,22561,14963,LH(R),0.965
4,1402,pre,4644,23117,15307,LH(R),0.95
5,1420,pre,4589,23624,14007,LH(R),0.906
6,1421,pre,4546,23677,13956,LH(R),0.988
7,1420,pre,4507,23613,13970,LH(R),0.946
8,1419,pre,4612,23594,14038,LH(R),0.976
9,1420,pre,4596,23578,13916,LH(R),0.988
10,1417,pre,4654,23457,14173,LH(R),0.991
11,1419,pre,4536,23546,14072,LH(R),0.934
12,1419,pre,4488,23469,14011,LH(R),0.993
13,1420,pre,4514,23593,14009,LH(R),0.864
14,1417,pre,4556,23369,14185,LH(R),0.959
15,1419,pre,4542,23486,13929,LH(R),0.997
16,1420,pre,4477,23497,13916,LH(R),0.96
17,1420,pre,4497,23585,13872,LH(R),0.986
18,1420,pre,4507,23531,13873,LH(R),0.971
19,1417,pre,4645,23496,14168,LH(R),0.945
20,934,pre,4333,21111,16284,LH(R),0.946
21,1255,pre,5514,22266,15624,LH(R),0.964
22,1409,pre,4854,23681,14893,LH(R),0.904
23,2048,pre,4661,21772,16550,LH(R),0.956
24,2072,pre,4413,23117,14748,LH(R),0.988
25,4463,pre,4869,22272,16303,LH(R),0.663
26,921,pre,4797,22186,16209,LH(R),0.987
27,1409,pre,4791,23660,14929,LH(R),0.803
28,2048,pre,4732,21725,16522,LH(R),0.812
29,1411,pre,4833,23663,14690,LH(R),0.994
30,1411,pre,4888,23746,14694,LH(R),0.99
31,4727,pre,4278,23074,14668,LH(R),0.964
32,1412,pre,4783,23653,14571,LH(R),0.956
33,1254,pre,5364,22209,15593,LH(R),0.98
34,4749,pre,5847,20428,14377,LH(R),0.982
35,435,pre,4835,23049,15570,LH(R),0.968
36,920,pre,4774,22174,16142,LH(R),0.977
37,1298,pre,3818,22382,14718,LH(R),0.995
38,4728,pre,4333,21126,16422,LH(R),0.911
39,2846,pre,4965,21036,15068,LH(R),0.991
40,433,pre,4831,22665,15449,LH(R),0.981
41,405,pre,6637,19794,13937,LH(R),0.877
42,405,pre,6668,19793,13966,LH(R),0.794
43,1297,pre,3880,22541,14853,LH(R),0.99
44,2117,pre,4829,21805,15514,LH(R),0.988
45,1399,pre,4784,22943,15476,LH(R),0.948
46,1401,pre,4678,22980,15343,LH(R),0.964
47,1402,pre,4713,23134,15257,LH(R),0.855
48,432,pre,4861,22614,15649,LH(R),0.909
49,404,pre,6725,19754,13856,LH(R),0.963
50,467,post,3972,22197,15457,LH(R),0.95532
51,404,post,6670,19715,13870,LH(R),0.992402
52,4728,post,4371,21133,16448,LH(R),0.636307
53,2119,post,4680,21701,15545,LH(R),0.852149
54,1401,post,4690,22983,15306,LH(R),0.56764
55,4738,post,4141,21222,15597,LH(R),0.986239
56,1256,pre,5598,22270,15679,LH(R),0.992
57,427,pre,4863,21807,15647,LH(R),0.951
58,2834,pre,5023,23027,14969,LH(R),0.972
