connector_id,node_id,type,x,y,z,roi,confidence
0,1436,pre,6444,21608,14516,LH(R),0.959
1,1436,pre,6457,21634,14474,LH(R),0.997
2,2638,pre,4728,23538,14179,LH(R),0.886
3,1441,pre,5296,22059,16048,LH(R),0.967
4,1872,pre,4838,23114,15146,LH(R),0.99
5,464,pre,4041,22367,14929,LH(R),0.974
6,3279,pre,6149,20236,14205,LH(R),0.918
7,2639,pre,4781,23639,14165,LH(R),0.982
8,425,pre,4918,23053,15281,LH(R),0.976
9,1410,pre,4311,21073,16031,LH(R),0.985
10,1874,pre,4747,22883,15027,LH(R),0.995
11,422,post,4855,22885,15550,LH(R),0.972301
12,429,post,4981,23283,15010,LH(R),0.880722
13,4404,post,5062,20866,14999,LH(R),0.928517
14,1872,pre,4908,23048,15222,LH(R),0.987
15,433,pre,5074,23438,14760,LH(R),0.99
16,3901,pre,5127,23413,14676,LH(R),0.676
17,1456,pre,5638,22028,15568,LH(R),0.946
18,2639,pre,4764,23658,14122,LH(R),0.901
19,2134,pre,5620,21638,16245,LH(R),0.985
20,2134,pre,5653,21618,16189,LH(R),0.983
21,4186,pre,5749,21723,16151,LH(R),0.947
22,434,pre,5008,23324,14626,LH(R),0.985
23,1000,pre,4999,22540,16307,LH(R),0.987
24,2635,pre,4953,23392,14422,LH(R),0.893
25,1005,pre,5000,22272,16946,LH(R),0.993
26,2235,pre,4560,22775,16066,LH(R),0.987
27,3906,pre,4388,21248,16181,LH(R),0.98
28,3905,pre,4279,21265,16181,LH(R),0.992
29,3282,post,6302,20418,14030,LH(R),0.462634
30,1004,post,5168,22364,16896,LH(R),0.950359
31,1449,post,5555,21927,15672,LH(R),0.802398
32,460,post,4055,22563,14815,LH(R),0.950839
33,4397,post,4267,20987,16174,LH(R),0.996831
34,3530,post,5168,22084,17074,LH(R),0.992683
35,2134,post,5607,21652,16275,LH(R),0.99843
36,1435,pre,6318,21628,14462,LH(R),0.974
37,3280,pre,6245,20243,14017,LH(R),0.981
38,3280,pre,6176,20170,14052,LH(R),0.978
39,3280,pre,6150,20222,14035,LH(R),0.974
40,3280,pre,6209,20227,13988,LH(R),0.979
41,3280,pre,6177,20272,13999,LH(R),0.989
42,3280,pre,6213,20172,14012,LH(R),0.95
43,3280,pre,6131,20266,14119,LH(R),0.974
44,3279,pre,6163,20176,14146,LH(R),0.989
45,4405,pre,6022,20160,14110,LH(R),0.879
46,1111,pre,14867,14619,11272,CA(R),0.977
47,1111,pre,15038,14620,11249,CA(R),0.989
48,1113,pre,14969,14163,11159,CA(R),0.982
49,1111,pre,14906,14634,11295,CA(R),0.982
50,1112,pre,14955,14306,11248,CA(R),0.943
51,1111,pre,14971,14630,11339,CA(R),0.969
52,1110,pre,14928,14809,11353,CA(R),0.955
53,1110,pre,14993,14781,11383,CA(R),0.986
54,1112,pre,14964,14361,11252,CA(R),0.911
55,1113,pre,14932,14224,11197,CA(R),0.965
56,1111,pre,15057,14466,11294,CA(R),0.896
57,1113,pre,14902,14248,11187,CA(R),0.985
58,1112,pre,14860,14422,11216,CA(R),0.956
59,2635,pre,4938,23408,14354,LH(R),0.893
60,3531,pre,5320,22181,17128,LH(R),0.976
61,3532,pre,5387,22250,17091,LH(R),0.944
62,1885,pre,5108,22856,14396,LH(R),0.982
63,1873,pre,4749,22959,15061,LH(R),0.967
64,3910,pre,5084,21359,15674,LH(R),0.974
65,1885,pre,5060,22839,14430,LH(R),0.892
66,1874,pre,4766,22868,14992,LH(R),0.954
