connector_id,node_id,type,x,y,z,roi,confidence
0,1505,pre,6664,21597,14319,LH(R),0.992
1,1508,pre,6721,21864,14290,LH(R),0.984
2,1508,pre,6724,21884,14405,LH(R),0.993
3,4795,pre,4377,23573,14393,LH(R),0.995
4,1728,pre,5301,22816,15151,LH(R),0.99
5,409,pre,5016,22116,15916,LH(R),0.939
6,4587,pre,5131,20608,14907,LH(R),0.99
7,3944,post,4316,21567,15720,LH(R),0.86093
8,2927,post,4251,21685,16432,LH(R),0.992
9,1524,post,5199,23310,15748,LH(R),0.903671
10,1503,pre,6615,21372,14258,LH(R),0.978
11,1509,pre,6676,21955,14416,LH(R),0.992
12,1493,pre,6448,20482,14284,LH(R),0.987
13,380,pre,6653,19600,13977,LH(R),0.81
14,1081,pre,15464,12776,10932,CA(R),0.949
15,1081,pre,15621,12736,11034,CA(R),0.941
16,4589,pre,15664,12621,11100,CA(R),0.758
17,4589,pre,15695,12603,11122,CA(R),0.983
18,1080,pre,15381,12771,11118,CA(R),0.982
19,4589,pre,15643,12482,11018,CA(R),0.961
20,4589,pre,15717,12483,11081,CA(R),0.964
21,1081,pre,15594,12814,10993,CA(R),0.952
22,1080,pre,15486,12853,10979,CA(R),0.961
23,1079,pre,15552,12994,11070,CA(R),0.983
24,1080,pre,15337,12843,11080,CA(R),0.955
25,1081,pre,15596,12817,11038,CA(R),0.966
26,1080,pre,15350,12903,11047,CA(R),0.939
27,4814,pre,15298,12860,11112,CA(R),0.942
28,1078,pre,15426,13104,11052,CA(R),0.877
29,4814,pre,15382,12840,11202,CA(R),0.988
30,1079,pre,15467,13044,11234,CA(R),0.959
31,1079,pre,15393,13052,11176,CA(R),0.988
32,1080,pre,15534,12894,11197,CA(R),0.961
33,2925,pre,4198,21709,16216,LH(R),0.984
34,3931,pre,3921,22509,15373,LH(R),0.97
35,428,pre,3987,22310,15642,LH(R),0.993
36,396,pre,5320,20781,15101,LH(R),0.952
37,1539,pre,4735,23526,14777,LH(R),0.89
38,1539,pre,4745,23509,14781,LH(R),0.98
39,1516,pre,4852,22790,15887,LH(R),0.974
40,1128,pre,2855,19637,15808,LH(R),0.853
41,395,pre,5375,20729,15037,LH(R),0.979
42,425,pre,4142,22598,15575,LH(R),0.889
43,1727,pre,5310,22963,15261,LH(R),0.989
44,1509,pre,6766,21960,14310,LH(R),0.943
45,3930,pre,4100,22524,15430,LH(R),0.994
46,4585,pre,5030,20793,15372,LH(R),0.637
47,4585,post,5066,20853,15422,LH(R),0.49731
48,426,pre,4017,22461,15534,LH(R),0.984
49,431,pre,3685,22016,15508,LH(R),0.991
50,4587,pre,5197,20697,14928,LH(R),0.987
51,564,pre,16026,34280,27051,AL(R),0.992
52,4440,pre,15307,34829,24899,AL(R),0.991
53,4134,pre,15535,35664,25405,AL(R),0.985
54,4376,pre,15094,36530,26173,AL(R),0.715
55,991,pre,15392,34751,27226,AL(R),0.993
56,68,pre,17249,35734,25682,AL(R),0.986
57,714,pre,15938,35366,25873,AL(R),0.991
58,488,pre,15203,36388,26427,AL(R),0.992
59,794,pre,16106,35479,24589,AL(R),0.997
60,3906,pre,16876,35416,24546,AL(R),0.972
61,4401,pre,15168,36540,26266,AL(R),0.985
62,71,pre,17192,35457,25695,AL(R),0.997
63,1214,pre,15450,35373,25697,AL(R),0.998
64,3620,pre,16737,35992,26288,AL(R),0.996
65,488,pre,15293,36325,26413,AL(R),0.963
66,1132,pre,15583,35671,25627,AL(R),0.99
67,4524,pre,16194,34599,27506,AL(R),0.983
68,2309,post,15338,34848,25430,AL(R),0.983661
69,4189,post,16158,34683,27467,AL(R),0.420194
70,3304,post,15484,34184,25741,AL(R),0.887273
71,352,post,9421,17187,12455,SLP(R),0.9944
72,353,pre,9390,17300,12451,SLP(R),0.917
73,1103,pre,3583,21064,15953,LH(R),0.99
74,1102,pre,3744,21174,16118,LH(R),0.982
75,2932,pre,4514,21910,16684,LH(R),0.998
76,4804,pre,3628,21200,16021,LH(R),0.991
77,4581,pre,4467,21920,16579,LH(R),0.98
78,302,post,16218,15886,12622,,0.536
79,307,pre,15858,15823,12563,,0.996
80,308,pre,15803,15785,12546,,0.931
81,1082,pre,15485,12564,10987,CA(R),0.858
82,4590,pre,15492,12249,11133,CA(R),0.852
83,1081,pre,15425,12679,11022,CA(R),0.913
84,4590,pre,15601,12310,11125,CA(R),0.98
85,4589,pre,15453,12485,11047,CA(R),0.979
86,4589,pre,15674,12396,11178,CA(R),0.985
87,4589,pre,15528,12533,10987,CA(R),0.915
88,1081,pre,15483,12687,11137,CA(R),0.986
89,1081,pre,15432,12698,11142,CA(R),0.95
90,1081,pre,15547,12686,11182,CA(R),0.989
91,4589,pre,15655,12607,11151,CA(R),0.96
92,3938,pre,4753,22800,16029,LH(R),0.978
93,1512,pre,6865,22321,14661,LH(R),0.995
94,4811,pre,5007,21549,15762,LH(R),0.992
95,4809,pre,6852,22402,14679,LH(R),0.984
96,4249,pre,5623,22450,16119,LH(R),0.995
97,2930,post,4392,21757,16631,LH(R),0.883
98,1513,post,6899,22400,14641,LH(R),0.985051
99,4810,pre,5005,21475,15891,LH(R),0.986
100,4798,pre,5269,23631,15332,LH(R),0.972
101,1728,pre,5436,22929,15183,LH(R),0.991
102,2933,pre,4691,22028,16830,LH(R),0.982
103,1530,pre,5093,23695,15341,LH(R),0.991
104,4798,pre,5237,23685,15301,LH(R),0.916
105,3720,pre,3765,22145,15726,LH(R),0.992
106,416,post,4692,22573,15857,LH(R),0.974914
107,3717,post,3717,22055,15672,LH(R),0.955049
108,4811,post,5024,21503,15774,LH(R),0.967
109,1729,post,5468,22875,15196,LH(R),0.833541
110,2933,post,4691,22081,16856,LH(R),0.973854
111,1729,post,5469,22846,15140,LH(R),0.889693
112,1549,pre,5329,22410,16054,LH(R),0.997
113,1549,pre,5323,22455,16183,LH(R),0.97
114,2241,pre,5945,23438,15717,LH(R),0.983
115,2227,pre,5284,23189,15911,LH(R),0.998
116,886,pre,16155,35339,27038,AL(R),0.96
117,888,pre,16206,35465,27006,AL(R),0.999
118,1133,pre,15574,35788,25477,AL(R),0.999
119,4743,pre,15669,35524,25606,AL(R),0.986
120,3472,pre,15783,35984,25511,AL(R),0.982
121,4134,post,15521,35613,25410,AL(R),0.370909
122,562,post,16036,34465,27425,AL(R),0.335078
123,1125,pre,3014,19995,15965,LH(R),0.981
124,1568,pre,5804,23165,16283,LH(R),0.977
125,4572,pre,5928,23274,16341,AVLP(R),0.995
126,4572,post,5870,23239,16344,LH(R),0.586618
127,1503,pre,6580,21377,14329,LH(R),0.656
128,1503,post,6607,21409,14304,LH(R),0.713449
129,2924,pre,4190,21559,16175,LH(R),0.995
130,432,pre,3560,22037,15432,LH(R),0.981
131,3716,pre,3700,22038,15625,LH(R),0.991
132,430,pre,3740,22216,15595,LH(R),0.983
133,4590,pre,15598,12341,11097,CA(R),0.905
134,4248,pre,5526,22519,16137,LH(R),0.991
135,1728,pre,5385,22818,15173,LH(R),0.989
136,396,pre,5297,20813,15112,LH(R),0.984
137,3939,pre,4761,22802,16107,LH(R),0.996
138,4422,pre,16679,35893,25408,AL(R),0.985
139,470,pre,15937,35084,27384,AL(R),0.972
140,989,post,15630,34881,27455,AL(R),0.617211
141,2301,pre,15133,34745,25233,AL(R),0.985
142,4765,pre,16982,36234,25021,AL(R),0.945
143,3124,pre,15106,36184,26111,AL(R),0.992
144,4222,pre,17044,35146,25321,AL(R),0.988
145,4870,post,16364,34211,26372,AL(R),0.992433
146,3889,post,15859,34728,27706,AL(R),0.98048
147,1270,post,14401,36328,25698,AL(R),0.4660181
148,1443,post,15254,36991,25998,AL(R),0.94478
149,3044,post,17082,35074,25468,AL(R),0.852015
150,1622,post,15661,36040,26147,AL(R),0.94162
151,1078,pre,15515,13114,11127,CA(R),0.973
152,1080,pre,15467,12832,11193,CA(R),0.927
153,1081,pre,15462,12692,11178,CA(R),0.988
154,1079,pre,15528,13021,11182,CA(R),0.98
155,1080,pre,15429,12804,11139,CA(R),0.977
156,1081,pre,15436,12747,11061,CA(R),0.722
157,1079,pre,15347,12998,11073,CA(R),0.966
158,1080,pre,15400,12791,10998,CA(R),0.92
159,1079,pre,15372,13028,11030,CA(R),0.892
160,1080,pre,15375,12928,11006,CA(R),0.973
161,1079,pre,15508,12954,10990,CA(R),0.907
162,1081,pre,15505,12799,10940,CA(R),0.947
163,4589,pre,15738,12490,11132,CA(R),0.954
164,4590,pre,15482,12441,11223,CA(R),0.968
165,4589,pre,15598,12497,11209,CA(R),0.89
166,4590,pre,15571,12295,11172,CA(R),0.832
167,4590,pre,15436,12273,11167,CA(R),0.974
168,4589,pre,15520,12566,11244,CA(R),0.867
169,4589,pre,15379,12476,11141,CA(R),0.994
170,4590,pre,15391,12341,11145,CA(R),0.974
171,4589,pre,15528,12562,11103,CA(R),0.97
172,4589,pre,15412,12546,11155,CA(R),0.993
173,4589,pre,15469,12458,11067,CA(R),0.973
174,4589,pre,15490,12486,11041,CA(R),0.85
175,1081,pre,15437,12692,10983,CA(R),0.924
176,3340,pre,5321,22663,16612,LH(R),0.85
177,1520,pre,5075,23130,15973,LH(R),0.995
178,3340,pre,5346,22591,16630,LH(R),0.978
179,3341,pre,5357,22633,16652,LH(R),0.992
180,4580,pre,5372,23482,15827,LH(R),0.965
181,4577,pre,5466,22600,16532,LH(R),0.978
182,4248,pre,5444,22506,16190,LH(R),0.988
183,4797,pre,6010,23336,15571,LH(R),0.982
184,2243,pre,6054,23406,15595,LH(R),0.94
185,4577,post,5495,22654,16584,LH(R),0.916331
186,3341,post,5429,22594,16653,LH(R),0.322205
187,161,pre,21575,26013,26478,,0.688
188,1539,pre,4768,23488,14705,LH(R),0.963
189,2454,pre,15441,36394,26498,AL(R),0.989
190,3657,pre,16451,35699,26938,AL(R),0.967
191,2302,pre,15214,34805,25254,AL(R),0.967
192,2301,pre,15241,34716,25109,AL(R),0.996
193,4090,pre,15124,34624,24984,AL(R),0.698
194,3456,pre,15167,34599,25169,AL(R),0.659
195,3457,pre,15183,34575,25064,AL(R),0.983
196,3455,pre,15212,34703,25079,AL(R),0.991
197,4090,post,15182,34645,24942,AL(R),0.841987
198,4701,post,15182,34719,25021,AL(R),0.901
199,3456,post,15247,34639,25093,AL(R),0.925076
200,1082,pre,15448,12618,10965,CA(R),0.852
201,1391,pre,16846,36134,24590,AL(R),0.97
202,1490,post,6615,20217,14145,LH(R),0.975
203,4796,pre,4592,23654,14462,LH(R),0.888
204,3927,pre,3955,22273,15714,LH(R),0.992
205,425,pre,4092,22498,15604,LH(R),0.995
206,4794,pre,4535,23692,14271,LH(R),0.994
207,3926,pre,3847,22206,15733,LH(R),0.999
208,4446,pre,15494,34429,26372,AL(R),0.982
209,4494,pre,16327,35728,26885,AL(R),0.973
210,3656,pre,16430,35623,26909,AL(R),0.998
211,2775,pre,15886,34559,25461,AL(R),0.609
212,4858,pre,16146,35270,26897,AL(R),0.822
213,79,pre,16887,34822,25541,AL(R),0.985
214,3906,pre,16985,35471,24653,AL(R),0.996
215,4875,pre,16506,34258,25992,AL(R),0.998
216,4838,pre,15201,34834,25218,AL(R),0.983
217,4865,pre,16094,34676,27323,AL(R),0.976
218,468,pre,16000,34813,27243,AL(R),0.995
219,1391,pre,16886,36042,24655,AL(R),0.994
220,3469,pre,16008,35843,25605,AL(R),0.982
221,1102,pre,3771,21211,16060,LH(R),0.965
222,2302,pre,15265,34708,25200,AL(R),0.999
223,1824,pre,15990,36515,25847,AL(R),0.997
224,4214,pre,16918,35340,24574,AL(R),0.953
225,1215,pre,15393,35316,25610,AL(R),0.997
226,4206,pre,16016,35140,27445,AL(R),0.995
227,988,pre,15793,34867,27392,AL(R),0.992
228,2939,pre,15808,36216,25315,AL(R),0.991
229,3224,pre,14761,35655,25463,AL(R),0.995
230,1747,pre,15486,34240,25149,AL(R),0.998
231,1748,pre,15553,34242,25128,AL(R),0.982
232,3954,pre,15368,34319,25010,AL(R),0.953
233,4808,pre,4127,21512,16156,LH(R),0.978
234,4827,pre,15820,35253,24863,AL(R),0.995
235,4804,pre,3686,21206,15981,LH(R),0.981
236,1654,pre,16059,35029,25937,AL(R),0.999
237,469,pre,16068,35074,27383,AL(R),1.0
238,2113,pre,16449,34308,25753,AL(R),0.995
239,4811,pre,5000,21469,15735,LH(R),0.986
240,1216,post,15296,35228,25708,AL(R),0.928685
241,1216,post,15313,35257,25701,AL(R),0.531
242,3955,post,15391,34364,25008,AL(R),0.80435
243,3313,post,15426,35005,24489,AL(R),0.93
244,3956,post,15355,34390,24961,AL(R),0.895964
245,1215,post,15311,35291,25657,AL(R),0.750676
246,1747,post,15535,34337,25095,AL(R),0.967623
247,1747,post,15523,34300,25146,AL(R),0.860068
248,2302,post,15226,34798,25190,AL(R),0.999869
249,1184,post,15891,36192,24550,AL(R),0.634316
250,4345,post,15468,35175,24655,AL(R),0.982119
251,4058,post,15364,35144,24696,AL(R),0.940599
252,402,post,4951,21307,15707,LH(R),0.351186
253,1745,post,15383,34269,25137,AL(R),0.852812
254,3013,post,15532,34728,25681,AL(R),0.886863
255,3009,post,15428,34642,25635,AL(R),0.900303
256,1540,pre,4677,23530,14670,LH(R),0.992
257,432,pre,3509,21981,15394,LH(R),0.989
258,1715,post,4886,22405,15396,LH(R),0.491309
259,3930,pre,4111,22619,15462,LH(R),0.994
260,426,pre,4033,22421,15530,LH(R),0.955
261,563,pre,16033,34475,27170,AL(R),0.973
262,3046,post,17072,35239,25437,AL(R),0.816539
263,396,pre,5261,20853,15130,LH(R),0.741
264,2122,pre,16215,34501,25220,AL(R),0.835
265,94,pre,16133,34047,26795,,0.91
266,4838,post,15162,34856,25240,AL(R),0.747257
267,1845,post,16531,35411,25875,AL(R),0.53858
268,388,post,5834,20185,14457,LH(R),0.889486
269,389,post,5740,20307,14556,LH(R),0.820109
270,3047,post,17078,35332,25408,AL(R),0.617211
271,1541,pre,4472,23553,14502,LH(R),0.988
272,428,pre,3989,22373,15640,LH(R),0.794
273,1125,pre,2963,20080,16002,LH(R),0.966
274,1103,pre,3696,21107,16047,LH(R),0.991
275,1494,pre,6474,20607,14283,LH(R),0.988
276,1493,pre,6528,20532,14209,LH(R),0.974
277,4800,pre,5105,22853,15291,LH(R),0.99
278,1706,post,4958,22086,15792,LH(R),0.948326
279,387,post,5952,20048,14354,LH(R),0.813293
280,1571,pre,6005,23333,16271,AVLP(R),0.943
281,403,pre,4890,21483,15724,LH(R),0.77
282,1493,pre,6567,20502,14245,LH(R),0.833
283,1493,pre,6566,20504,14265,LH(R),0.992
284,4812,pre,6498,21371,14156,LH(R),0.981
285,1502,pre,6564,21320,14326,LH(R),0.99
286,1503,pre,6511,21378,14253,LH(R),0.992
287,1503,pre,6591,21380,14216,LH(R),0.976
288,1531,pre,5126,23676,15244,LH(R),0.978
289,1570,pre,5979,23229,16293,LH(R),0.989
290,1504,pre,6554,21540,14308,LH(R),0.982
291,1516,pre,4822,22806,15952,LH(R),0.985
292,1504,pre,6585,21570,14253,LH(R),0.97
293,1570,pre,5992,23226,16185,LH(R),0.637
294,1503,pre,6529,21495,14218,LH(R),0.976
295,1570,pre,5938,23287,16232,LH(R),0.991
296,1502,pre,6513,21336,14294,LH(R),0.969
297,1508,pre,6685,21833,14293,LH(R),0.966
298,4249,pre,5611,22529,16245,LH(R),0.958
299,1512,pre,6849,22342,14587,LH(R),0.985
300,4812,pre,6577,21330,14228,LH(R),0.96
301,1515,pre,4819,22688,15894,LH(R),0.994
302,1511,pre,6877,22298,14503,LH(R),0.932
303,1507,pre,6628,21799,14319,LH(R),0.982
304,1516,pre,4891,22761,15882,LH(R),0.993
305,1512,pre,6793,22247,14624,LH(R),0.959
306,3939,pre,4721,22830,16079,LH(R),0.982
307,412,pre,4910,22419,15955,LH(R),0.9
308,3938,pre,4919,22827,16042,LH(R),0.961
309,2925,pre,4114,21580,16228,LH(R),0.985
310,4802,pre,5444,23566,15629,LH(R),0.993
311,1504,pre,6634,21521,14277,LH(R),0.989
312,1541,pre,4526,23568,14567,LH(R),0.986
313,1541,pre,4575,23511,14515,LH(R),0.89
314,4795,pre,4363,23546,14255,LH(R),0.979
315,1542,pre,4440,23576,14459,LH(R),0.986
316,2931,pre,4451,21838,16699,LH(R),0.975
317,1727,pre,5232,22823,15213,LH(R),0.962
318,1516,pre,4872,22751,15950,LH(R),0.988
319,1540,post,4603,23618,14597,LH(R),0.994172
320,402,post,4974,21368,15650,LH(R),0.991973
321,4576,post,4953,22647,15129,LH(R),0.921193
322,402,post,5045,21293,15617,LH(R),0.837101
323,1540,post,4669,23501,14568,LH(R),0.976963
324,1541,pre,4533,23511,14555,LH(R),0.993
325,1540,pre,4607,23589,14626,LH(R),0.986
326,1544,pre,4361,23625,14269,LH(R),0.994
327,1125,pre,2970,20121,15902,LH(R),0.996
328,3931,pre,3964,22531,15425,LH(R),0.979
329,3340,pre,5336,22558,16567,LH(R),0.96
330,3340,pre,5381,22691,16507,LH(R),0.857
331,1542,pre,4453,23528,14467,LH(R),0.932
332,1540,pre,4668,23593,14693,LH(R),0.947
333,4802,pre,5397,23611,15637,LH(R),0.987
334,1509,pre,6744,21962,14452,LH(R),0.992
335,4799,pre,5109,22846,15129,LH(R),0.998
336,3340,pre,5323,22673,16564,LH(R),0.989
337,4248,pre,5449,22408,16168,LH(R),0.991
338,1494,pre,6467,20589,14390,LH(R),0.989
339,4250,pre,5685,22385,16182,LH(R),0.95
340,396,pre,5213,20863,15155,LH(R),0.954
341,1510,pre,6879,22173,14417,LH(R),0.977
342,1511,pre,6780,22229,14521,LH(R),0.923
343,432,pre,3512,21911,15484,LH(R),0.992
344,4249,pre,5647,22516,16269,LH(R),0.992
345,4249,pre,5583,22420,16262,LH(R),0.981
346,1508,pre,6659,21899,14402,LH(R),0.986
347,2930,pre,4435,21868,16537,LH(R),0.996
348,4581,pre,4433,21944,16549,LH(R),0.993
349,4249,pre,5545,22407,16207,LH(R),0.97
350,723,pre,15636,35926,25677,AL(R),0.99
351,904,post,16849,36056,26299,AL(R),0.850856
352,1387,post,16764,35791,24504,AL(R),0.810345
353,3942,pre,4419,21703,15887,LH(R),0.986
354,461,pre,2242,21194,14752,,0.9
355,431,pre,3643,21990,15539,LH(R),0.989
356,2933,pre,4755,22104,16797,LH(R),0.953
357,1877,pre,15856,35081,24742,AL(R),0.958
358,1213,pre,15560,35522,25667,AL(R),0.977
359,3478,pre,16165,35715,24494,AL(R),0.708
360,4601,pre,14782,35243,26440,AL(R),0.988
361,3970,pre,14849,35203,26445,AL(R),0.659
362,1356,pre,16058,35703,25662,AL(R),0.995
363,4250,pre,5700,22424,16171,LH(R),0.99
364,1549,pre,5373,22439,16060,LH(R),0.94
365,4794,pre,4529,23654,14363,LH(R),0.987
366,429,pre,3818,22290,15546,LH(R),0.93
367,4813,pre,4997,20860,15325,LH(R),0.994
368,4587,pre,5174,20631,14870,LH(R),0.993
369,428,pre,3919,22334,15580,LH(R),0.956
370,4813,pre,5065,20788,15308,LH(R),0.981
371,1540,pre,4648,23555,14685,LH(R),0.988
372,3926,pre,3767,22217,15688,LH(R),0.872
373,1728,pre,5407,22941,15250,LH(R),0.966
374,4847,pre,15869,35919,25700,AL(R),0.986
375,3465,pre,15399,34336,26138,AL(R),0.938
376,3970,pre,14818,35154,26402,AL(R),0.965
377,4218,post,16795,35163,26269,AL(R),0.676765
378,3366,post,14513,35363,25787,AL(R),0.954647
379,4851,post,15782,36778,24987,AL(R),0.835134
380,3107,post,15742,36055,24919,AL(R),0.699208
381,2150,post,14517,35332,25672,AL(R),0.929818
382,2533,post,14690,35061,24983,AL(R),0.303901
383,1250,post,14620,35492,25962,AL(R),0.4807835
384,2144,post,14523,35341,25515,AL(R),0.731277
385,2941,pre,15810,36124,25381,AL(R),0.808
386,782,pre,16409,36145,24542,AL(R),0.865
387,2360,post,14647,35170,25888,AL(R),0.767707
388,3998,post,14435,35104,26007,AL(R),0.888223
389,751,post,15419,36659,25195,AL(R),0.617211
390,4381,post,14876,35329,25950,AL(R),0.956398
391,755,post,15419,36740,25243,AL(R),0.321995
392,2273,post,16688,36264,25728,AL(R),0.844368
393,4527,post,15870,34837,24587,AL(R),0.965
394,801,post,16121,35036,24781,AL(R),0.4578918
395,1246,post,14697,35468,25951,AL(R),0.961
396,1168,post,14588,36032,25542,AL(R),0.99112
397,3638,post,15026,34543,26042,AL(R),0.316569
398,3639,post,15038,34584,26014,AL(R),0.958745
399,2586,post,14362,35576,25885,AL(R),0.774901
400,2950,post,15226,36744,25963,AL(R),0.524415
401,2946,post,15199,36667,25948,AL(R),0.972839
402,2160,post,15620,36993,26040,AL(R),0.726999
403,3319,post,15354,35174,24472,AL(R),0.959119
404,4765,post,17006,36236,25008,AL(R),0.769039
