connector_id,node_id,type,x,y,z,roi,confidence
0,865,pre,4604,23671,14141,LH(R),0.968
1,2824,pre,5015,21001,15021,LH(R),0.986
2,1392,pre,4314,22839,14953,LH(R),0.994
3,862,pre,5050,23688,14390,LH(R),0.992
4,863,pre,4976,23647,14395,LH(R),0.974
5,441,pre,4145,21405,16349,LH(R),0.807
6,864,pre,4781,23670,14212,LH(R),0.982
7,865,pre,4615,23689,14212,LH(R),0.952
8,844,pre,4951,22967,15829,LH(R),0.964
9,442,pre,4114,21321,16299,LH(R),0.986
10,1389,pre,4579,22970,14850,LH(R),0.991
11,2291,pre,5418,21848,15717,LH(R),0.971
12,1392,pre,4273,22728,14862,LH(R),0.969
13,4617,pre,6163,20713,14398,LH(R),0.963
14,2289,pre,5320,21941,15531,LH(R),0.983
15,443,pre,4089,21158,16257,LH(R),0.874
16,2296,pre,5753,21882,16136,LH(R),0.976
17,1393,post,4202,22734,14966,LH(R),0.994795
18,1104,post,4856,21899,17124,LH(R),0.996165
19,1106,post,4861,21921,17004,LH(R),0.669898
20,2289,post,5375,21987,15579,LH(R),0.76103
21,4616,post,5047,20885,14984,LH(R),0.76641
22,1392,post,4205,22835,14906,LH(R),0.757252
23,443,post,4103,21226,16381,LH(R),0.948134
24,863,post,5004,23641,14373,LH(R),0.94327
25,440,pre,4362,21450,16367,LH(R),0.965
26,4608,pre,4994,22929,15132,LH(R),0.992
27,2290,pre,5447,21959,15642,LH(R),0.987
28,4613,pre,4942,21656,15735,LH(R),0.974
29,1387,pre,5015,22921,15043,LH(R),0.972
30,4363,pre,4348,21585,16484,LH(R),0.99
31,428,pre,4848,21548,15621,LH(R),0.983
32,1523,pre,5131,22987,15950,LH(R),0.967
33,4362,pre,4312,21595,16415,LH(R),0.99
34,428,pre,4862,21561,15671,LH(R),0.908
35,1394,pre,4139,22699,14922,LH(R),0.982
36,2290,pre,5482,21898,15613,LH(R),0.985
37,1393,post,4220,22768,14986,LH(R),0.956778
38,3954,post,5140,21912,15427,LH(R),0.934
39,870,post,4388,23533,14108,LH(R),0.830023
40,3942,post,5169,22376,17004,LH(R),0.709059
41,1096,post,5073,22359,16883,LH(R),0.938587
42,2828,post,4832,20909,15071,LH(R),0.64775
43,859,post,5065,23693,14778,LH(R),0.680386
44,1394,post,4197,22701,14864,LH(R),0.866939
45,847,post,5118,23231,15753,LH(R),0.980006
46,2290,post,5518,21931,15663,LH(R),0.857627
47,428,post,4902,21597,15628,LH(R),0.958867
48,1396,post,4057,22578,14815,LH(R),0.988923
49,1389,post,4710,23054,14807,LH(R),0.878512
50,1396,post,3989,22593,14723,LH(R),0.936364
51,430,post,4730,21611,15912,LH(R),0.979015
52,1524,post,5107,22958,16086,LH(R),0.887337
53,452,post,3751,20667,16282,LH(R),0.951777
54,4348,post,4959,23506,14962,LH(R),0.998277
55,4363,post,4326,21627,16512,LH(R),0.945096
56,3955,post,5181,21853,15408,LH(R),0.81
57,408,pre,6385,20366,14246,LH(R),0.976
58,407,pre,6626,20212,14156,LH(R),0.728
59,1043,pre,16654,15501,11463,CA(R),0.971
60,3961,pre,16461,15316,11153,CA(R),0.986
61,3960,pre,16612,15433,11199,CA(R),0.992
62,1038,pre,16466,15220,11382,CA(R),0.939
63,4628,pre,16621,15289,11355,CA(R),0.923
64,1039,pre,16506,15237,11292,CA(R),0.971
65,4627,pre,16690,15611,11292,CA(R),0.983
66,4372,pre,16509,15619,11293,CA(R),0.964
67,4372,pre,16437,15526,11294,CA(R),0.976
68,4627,pre,16708,15543,11295,CA(R),0.979
69,1040,pre,16615,15366,11273,CA(R),0.979
70,1040,pre,16569,15409,11434,CA(R),0.986
71,1043,pre,16618,15522,11406,CA(R),0.965
72,3961,pre,16470,15303,11239,CA(R),0.957
73,1039,pre,16530,15326,11443,CA(R),0.983
74,1038,pre,16336,15284,11400,CA(R),0.891
75,1038,pre,16474,15282,11455,CA(R),0.952
76,4628,pre,16526,15250,11406,CA(R),0.985
77,1038,pre,16397,15197,11422,CA(R),0.962
78,3962,pre,16332,15337,11164,CA(R),0.891
79,3961,pre,16380,15406,11196,CA(R),0.98
80,1039,pre,16403,15377,11315,CA(R),0.966
81,3962,pre,16358,15298,11242,CA(R),0.968
82,1038,post,16335,15294,11349,CA(R),0.748025
83,854,pre,4909,23621,15143,LH(R),0.98
84,863,pre,4924,23750,14333,LH(R),0.993
85,1526,pre,5109,22926,16333,LH(R),0.862
86,2015,pre,5189,22993,16342,LH(R),0.967
87,1389,pre,4584,22970,14913,LH(R),0.969
88,853,pre,4917,23633,15348,LH(R),0.977
89,4358,pre,5263,23006,16306,LH(R),0.917
90,852,pre,4930,23536,15430,LH(R),0.961
91,2296,pre,5756,21942,16051,LH(R),0.989
92,862,pre,5017,23642,14531,LH(R),0.904
93,4611,post,4405,21725,16393,LH(R),0.81904
94,843,pre,5017,22798,15835,LH(R),0.967
95,443,pre,4145,21232,16351,LH(R),0.988
96,1388,pre,4864,22927,14939,LH(R),0.661
97,1388,pre,4777,22988,14950,LH(R),0.852
98,1534,pre,4378,22641,15962,LH(R),0.982
99,1538,pre,4113,22479,15772,LH(R),0.99
100,864,pre,4755,23722,14272,LH(R),0.898
101,1392,pre,4252,22827,14977,LH(R),0.965
102,3951,pre,5333,21969,15364,LH(R),0.979
103,4607,pre,3946,21052,15947,LH(R),0.952
104,1097,pre,5060,22278,17005,LH(R),0.991
105,2824,pre,4993,20942,14972,LH(R),0.954
106,2823,pre,5065,20969,14967,LH(R),0.994
107,2823,pre,5116,21008,14954,LH(R),0.873
108,2288,pre,5276,21869,15489,LH(R),0.926
109,843,pre,4961,22805,15794,LH(R),0.9
110,2293,pre,5528,21797,15970,LH(R),0.924
111,3259,pre,4338,22709,15619,LH(R),0.916
112,4354,pre,3656,20959,15811,LH(R),0.986
113,4350,pre,3690,20772,15936,LH(R),0.999
114,2289,pre,5300,21890,15569,LH(R),0.993
115,3581,post,3742,20737,15725,LH(R),0.973877
116,440,pre,4320,21442,16316,LH(R),0.997
117,4614,pre,4969,21637,15316,LH(R),0.899
118,3580,pre,3630,20755,15779,LH(R),0.991
119,2825,pre,4989,20938,15077,LH(R),0.953
120,3957,pre,15092,12384,10873,CA(R),0.962
121,4622,pre,15216,12741,11031,CA(R),0.948
122,3957,pre,15152,12350,10949,CA(R),0.936
123,4621,pre,15228,12408,10908,CA(R),0.986
124,4623,pre,15283,12829,10947,CA(R),0.947
125,4622,pre,15291,12682,10991,CA(R),0.882
126,688,pre,15264,12576,10952,CA(R),0.886
127,690,pre,15351,12324,11074,CA(R),0.982
