connector_id,node_id,type,x,y,z,roi,confidence
123,1452,pre,5056,22730,15457,LH(R),0.986
124,2599,pre,4765,21484,16863,LH(R),0.989
125,15,pre,5041,22647,15487,LH(R),0.993
126,1133,pre,3824,20914,16079,LH(R),0.992
127,1130,pre,4155,21084,16142,LH(R),0.988
128,4242,pre,5172,21551,15795,LH(R),0.998
129,2600,pre,4849,21626,16966,LH(R),0.989
130,1186,pre,4792,21907,15665,LH(R),0.981
131,2600,pre,4891,21575,16993,LH(R),0.945
132,3664,pre,6033,20361,14262,LH(R),0.981
133,3665,pre,5947,20405,14274,LH(R),0.993
134,38,pre,5923,20212,14367,LH(R),0.967
135,3028,pre,5315,21603,15661,LH(R),0.966
136,4242,pre,5273,21554,15708,LH(R),0.99
137,3030,pre,5414,21792,15514,LH(R),0.956
138,3,pre,3652,21929,15113,LH(R),0.992
139,2404,pre,5391,22175,15813,LH(R),0.945
140,3671,pre,3895,22298,15201,LH(R),0.968
141,4022,pre,4966,21237,15419,LH(R),0.977
142,1124,pre,4560,21486,16439,LH(R),0.994
143,4327,pre,4945,21244,15463,LH(R),0.625
144,30,pre,5005,21025,15300,LH(R),0.98
145,4022,pre,4953,21183,15448,LH(R),0.99
146,128,post,16855,15839,12906,,0.990485
147,2407,pre,5774,22024,15744,LH(R),0.993
148,2407,pre,5728,22057,15765,LH(R),0.949
149,1981,pre,4757,22909,14635,LH(R),0.995
150,1136,pre,3546,20675,15998,LH(R),0.978
151,15,pre,5084,22688,15488,LH(R),0.992
152,4322,pre,3485,20630,15979,LH(R),0.99
153,1584,post,4778,22193,16374,LH(R),0.780315
154,3031,pre,5384,21884,15445,LH(R),0.989
155,1206,pre,5304,22794,14680,LH(R),0.962
156,3515,pre,16594,34868,25125,AL(R),0.999
157,1053,pre,15403,34862,25120,AL(R),0.986
158,3574,pre,16274,34856,27098,AL(R),0.997
159,1438,pre,16695,35471,25054,AL(R),0.977
160,1444,pre,16594,35541,24721,AL(R),0.983
161,614,pre,16097,35088,25165,AL(R),0.991
162,2848,pre,15251,34862,25246,AL(R),0.952
163,3785,pre,16422,36916,25377,AL(R),0.98
164,3254,pre,16238,35343,24775,AL(R),0.994
165,4182,pre,16654,35426,25095,AL(R),0.99
166,3980,pre,15544,34221,25786,AL(R),0.99
167,4218,pre,16184,35147,25245,AL(R),0.993
168,3980,pre,15621,34153,25765,AL(R),0.995
